Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats
Leo Mikić,SV Ried,Croatia,Ö Bundesliga (AUT 1),63,LM,"CF,ST,LW",Normal,Controlled,300.0,0,3,3,M,M,76.0,64,53,65,27,63,"180cm | 5'11""",Average  (76kg),0,348,1626
Kimberly Ezekwem,SC Freiburg,Germany,Bundesliga,63,LB,"LWB,LM",Normal,Lengthy,300.0,0,2,3,M,M,62.0,33,54,61,61,68,"187cm | 6'2""",High & Average+  (76kg),7,339,1538
Enzo Leopold,Hannover 96,Germany,Bundesliga 2 (GER 2),63,CM,CF,Normal,Controlled,300.0,0,2,3,M,M,71.0,51,60,63,51,55,"174cm | 5'9""",Average  (74kg),4,351,1637
Emilio Kehrer,Cercle Brugge,Germany,1A Pro League (BEL 1),63,ST,CF,Normal,Explosive,0.0,0,3,3,M,M,73.0,63,47,67,25,54,"171cm | 5'7""",Average  (65kg),2,329,1556
Mads Hansen,FC Nordsjælland,Denmark,3F Superliga (DEN 1),63,ST,"CF,RW",Normal,Controlled,2400.0,0,2,4,H,M,75.0,61,55,64,41,62,"188cm | 6'2""",High & Average  (70kg),0,358,1654
Miguel Villar Alonso,UD Ibiza,Spain,LaLiga SmartBank (ESP 2),63,RM,"RWB,LM,RW",Normal,Explosive,10000.0,0,2,3,M,H,78.0,63,55,63,31,60,"180cm | 5'11""",Lean  (75kg),3,350,1640
Karol Knap,Cracovia,Poland,Polski Ekstraklasa (POL 1),63,CDM,"CM,CAM",Normal,Lengthy,350.0,0,2,3,M,M,63.0,51,56,58,61,69,"180cm | 5'11""",Average  (71kg),1,358,1692
Felix Higl,VfL Osnabrück,Germany,3. Liga (GER 3),63,ST,CF,Normal,Controlled,300.0,0,2,3,M,M,64.0,61,55,58,27,72,"194cm | 6'4""",High & Average+  (83kg),0,337,1484
Oliver Wähling,VfL Osnabrück,Germany,3. Liga (GER 3),63,CAM,0,Normal,Controlled,300.0,2,0,3,M,M,68.0,62,65,64,37,61,"185cm | 6'1""",High & Average+  (72kg),1,357,1702
Luis López,Real Madrid,Spain,LaLiga Santander,63,GK,0,Normal,Controlled,2900.0,1,0,3,M,M,66.0,62,58,63,30,58,"190cm | 6'3""",High & Average  (76kg),8,337,611
Vaca,Always Ready,Bolivia,CONMEBOL Libertadores,63,RB,"RWB,CB",Libertadores,Controlled,1000.0,0,3,3,M,M,71.0,56,60,58,58,57,"181cm | 5'11""",Average  (77kg),0,360,1690
Nicky Clark,St. Johnstone,Scotland,Scottish Premiership (SPFL),63,ST,"CAM,CF",Normal,Controlled,250.0,0,2,3,H,M,68.0,64,59,64,34,58,"178cm | 5'10""",Average  (66kg),0,347,1679
Chris Hussey,Stockport,England,EFL League Two (ENG 4),63,LWB,LB,Normal,Controlled,300.0,0,2,3,M,M,53.0,47,61,62,57,70,"178cm | 5'10""",Lean  (65kg),1,350,1728
Abdulaziz Al Jebreen,Al Raed,Saudi Arabia,MBS Pro League (SAU 1),63,CDM,0,Normal,Controlled,300.0,2,0,3,M,M,39.0,58,62,60,62,68,"178cm | 5'10""",Average  (73kg),1,349,1705
Sylla Sow,Go Ahead Eagles,Netherlands,Eredivisie,63,ST,"CF,LW",Normal,Controlled,200.0,0,3,3,M,L,78.0,61,56,65,26,66,"182cm | 6'0""",Lean  (74kg),1,352,1616
Joshua Kayode,MK Dons,Republic of Ireland,EFL League One (ENG 3),63,ST,CF,Normal,Lengthy,300.0,0,2,3,H,M,73.0,61,52,62,23,70,"191cm | 6'3""",High & Average+  (75kg),1,341,1549
Jacek Kielb,Korona Kielce,Poland,Polski Ekstraklasa (POL 1),63,LM,"RM,ST,LW",Normal,Controlled,300.0,0,3,3,H,M,66.0,64,59,64,40,67,"183cm | 6'0""",Lean  (70kg),2,360,1726
Mark Howard,Wrexham AFC,England,National League (ENG 5),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,62.0,62,61,63,34,64,"183cm | 6'0""",Average  (76kg),4,346,824
Gustavo Pinedo,Independiente Petrolero,Bolivia,CONMEBOL Libertadores,63,ST,CF,Libertadores,Controlled,1000.0,0,2,3,M,M,66.0,64,49,61,22,53,"172cm | 5'8""",Average  (73kg),2,315,1527
Kevin Koffi,SV Elversberg,Côte d'Ivoire,3. Liga (GER 3),63,ST,CF,Normal,Controlled,300.0,0,3,3,H,M,68.0,60,49,67,36,69,"181cm | 5'11""",Average  (78kg),4,349,1627
Szymon Matuszek,Miedź Legnica,Poland,Polski Ekstraklasa (POL 1),63,CDM,0,Normal,Controlled,300.0,2,0,3,M,H,32.0,44,48,52,64,75,"185cm | 6'1""",High & Stocky  (83kg),5,315,1565
Simen Rafn,Aalesunds FK,Norway,Eliteserien (NOR 1),63,RWB,"RB,LWB",Normal,Explosive,3500.0,0,2,3,H,M,76.0,48,60,62,56,64,"172cm | 5'8""",Average  (70kg),0,366,1723
Eugeniu Cebotaru,FC Petrolul,Moldova,Liga I (ROM 1),63,CDM,CM,Normal,Controlled,5800.0,0,2,3,M,H,42.0,53,61,60,63,58,"181cm | 5'11""",Stocky  (77kg),1,337,1696
Kevin Conrad,SV Elversberg,Germany,3. Liga (GER 3),63,CB,"RB,LB",Normal,Controlled,300.0,0,2,4,M,H,66.0,26,52,55,61,72,"181cm | 5'11""",Average  (78kg),-2,332,1559
Andreas Andersson,GIF Sundsvall,Sweden,Allsvenskan (SWE 1),63,GK,0,Normal,Controlled,7600.0,1,0,3,M,M,63.0,65,57,63,29,64,"192cm | 6'4""",High & Average  (89kg),-1,341,737
Nikola Ðurdic,Degerfors IF,Serbia,Allsvenskan (SWE 1),63,ST,"CF,RW",Normal,Lengthy,300.0,0,3,4,M,H,55.0,62,55,60,46,72,"184cm | 6'0""",Average  (77kg),-1,350,1734
Naser Aliji,FC Voluntari,Albania,Liga I (ROM 1),63,LWB,"RWB,LB",Normal,Controlled,250.0,0,3,4,M,M,72.0,36,48,63,60,62,"177cm | 5'10""",Average  (73kg),1,341,1553
Davide Mazzocco,Cittadella,Italy,Italy Serie B (2),63,CM,CDM,Normal,Controlled,0.0,0,2,3,M,M,67.0,55,64,62,58,65,"186cm | 6'1""",High & Average  (75kg),1,371,1743
Simon Skrabb,Kalmar FF,Finland,Allsvenskan (SWE 1),63,ST,"CF,RW",Normal,Controlled,300.0,0,3,2,H,M,66.0,63,62,65,50,63,"174cm | 5'9""",Stocky  (75kg),2,369,1791
Kyrylo Petrov,Korona Kielce,Ukraine,Polski Ekstraklasa (POL 1),63,CB,0,Normal,Lengthy,300.0,2,0,3,M,H,55.0,28,34,42,63,72,"186cm | 6'1""",High & Stocky  (76kg),1,294,1362
Arkadiusz Kasperkiewicz,PGE Stal Mielec,Poland,Polski Ekstraklasa (POL 1),63,CB,CDM,Normal,Controlled,300.0,0,2,3,H,M,57.0,42,54,49,62,72,"187cm | 6'2""",High & Average  (82kg),1,336,1611
John Olav Norheim,FK Jerv,Norway,Eliteserien (NOR 1),63,CB,CDM,Normal,Controlled,0.0,0,2,2,M,M,38.0,40,55,53,62,75,"191cm | 6'3""",High & Average  (84kg),1,323,1560
Keziah Veendorp,FC Emmen,Netherlands,Eredivisie,63,RB,"RWB,CB,CDM",Normal,Controlled,300.0,0,2,4,M,M,61.0,49,57,56,62,72,"183cm | 6'0""",Stocky  (77kg),0,357,1663
Daniel Mesenhöler,Hallescher FC,Germany,3. Liga (GER 3),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,63.0,65,56,62,49,61,"187cm | 6'2""",High & Average  (83kg),-1,356,827
Yongyong Hou,Beijing Guoan,China PR,Chinese FA Super L. (CHN 1),63,RM,"CDM,CM,RW",Normal,Controlled,10000.0,0,3,3,M,M,75.0,52,59,63,45,61,"183cm | 6'0""",Lean  (74kg),0,355,1656
Joel Nouble,Livingston,England,Scottish Premiership (SPFL),63,ST,CF,Normal,Lengthy,300.0,0,2,3,M,L,64.0,60,47,60,29,75,"193cm | 6'4""",High & Stocky  (78kg),4,335,1572
Henrich Ravas,Widzew Łódź,Slovakia,Polski Ekstraklasa (POL 1),63,GK,0,Normal,Controlled,300.0,1,0,2,M,M,63.0,61,59,63,37,65,"192cm | 6'4""",High & Average  (87kg),3,348,698
Florin Bejan,FC Hermannstadt,Romania,Liga I (ROM 1),63,CB,0,Normal,Controlled,300.0,2,0,2,M,M,42.0,32,40,44,61,74,"187cm | 6'2""",High & Average  (84kg),1,293,1363
Wellington Cirino Priori,Jamshedpur FC,Brazil,Indian Super League (IND 1),63,CM,"CB,CDM",Normal,Controlled,0.0,0,3,4,M,M,57.0,63,56,59,60,79,"190cm | 6'3""",High & Average+  (88kg),5,374,1723
Guillermo Benítez,Huracán,Argentina,Primera División (ARG 1),63,LB,LWB,Normal,Controlled,7000.0,0,2,2,M,H,68.0,48,55,60,65,61,"170cm | 5'7""",Short & Lean  (69kg),1,357,1648
Pape Djibril Diaw,Stade Lavallois,Senegal,Ligue 2 (FRA 2),63,CB,0,Normal,Controlled,300.0,2,0,2,M,M,75.0,26,32,43,61,77,"191cm | 6'3""",High & Average  (91kg),1,314,1452
Juliusz Letniowski,Widzew Łódź,Poland,Polski Ekstraklasa (POL 1),63,CF,"CM,CAM,ST",Normal,Controlled,300.0,0,2,2,M,M,66.0,58,64,64,34,43,"183cm | 6'0""",Lean  (62kg),-1,329,1566
Steffen Lie Skålevik,Sarpsborg 08,Norway,Eliteserien (NOR 1),63,ST,"LM,CF",Normal,Controlled,300.0,0,2,3,H,M,71.0,62,52,62,26,60,"180cm | 5'11""",Average  (75kg),1,333,1573
Deyver Vega,Sandefjord,Costa Rica,Eliteserien (NOR 1),63,LW,"LM,RW",Normal,Explosive,0.0,0,4,4,H,L,79.0,60,56,65,34,53,"178cm | 5'10""",Lean  (71kg),2,347,1605
Béni Nkololo,Central Coast,France,A-League (AUS 1),63,RM,"LM,RW",Normal,Controlled,300.0,0,2,3,M,M,79.0,57,57,62,30,57,"186cm | 6'1""",High & Average+  (75kg),4,342,1566
Thijmen Nijhuis,FC Utrecht,Netherlands,Eredivisie,63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,65.0,57,58,64,17,63,"196cm | 6'5""",High & Average  (83kg),2,324,629
Mathias Haarup,FK Jerv,Denmark,Eliteserien (NOR 1),63,LWB,LB,Normal,Controlled,8900.0,0,3,4,H,M,80.0,45,54,63,57,67,"178cm | 5'10""",Average  (72kg),0,366,1665
Alexander Weidinger,Jahn Regensburg,Germany,Bundesliga 2 (GER 2),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,64.0,61,63,62,22,64,"197cm | 6'6""",High & Average  (93kg),3,336,639
Eman Markovic,IFK Göteborg,Norway,Allsvenskan (SWE 1),63,LW,"LM,RW",Normal,Explosive,350.0,0,3,3,H,M,77.0,58,56,65,30,60,"180cm | 5'11""",Average  (76kg),4,346,1619
Charlie Lakin,Burton Albion,England,EFL League One (ENG 3),63,CM,CDM,Normal,Controlled,0.0,0,3,2,M,M,71.0,57,63,65,58,64,"183cm | 6'0""",Lean  (76kg),-2,378,1787
Federico Ravaglia,Reggina,Italy,Italy Serie B (2),63,GK,0,Normal,Controlled,2200.0,1,0,3,M,M,65.0,64,51,67,37,66,"191cm | 6'3""",High & Average+  (75kg),-2,350,652
Oli Shaw,Kilmarnock,Scotland,Scottish Premiership (SPFL),63,ST,CF,Normal,Controlled,0.0,0,2,3,M,L,69.0,61,46,62,21,57,"188cm | 6'2""",High & Average+  (72kg),-2,316,1467
Adrián López Garrote,Granada CF,Spain,LaLiga SmartBank (ESP 2),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,62.0,60,62,66,28,65,"185cm | 6'1""",High & Average+  (73kg),0,343,740
Yiming Liu,Wuhan Three Towns,China PR,Chinese FA Super L. (CHN 1),63,CB,0,Normal,Lengthy,300.0,2,0,2,M,M,58.0,26,41,46,61,76,"190cm | 6'3""",High & Average  (82kg),-1,308,1429
Erdon Daci,KVC Westerlo,FYR Macedonia,1A Pro League (BEL 1),63,ST,"LM,CF",Normal,Controlled,300.0,0,2,3,H,L,62.0,65,57,67,25,48,"183cm | 6'0""",Average  (75kg),1,324,1525
Hugo Andersson,Randers FC,Sweden,3F Superliga (DEN 1),63,CB,0,Normal,Controlled,300.0,2,0,3,M,M,47.0,29,45,47,61,72,"196cm | 6'5""",High & Average  (86kg),-1,301,1376
Quint Jansen,Sandefjord,Netherlands,Eliteserien (NOR 1),63,CB,0,Normal,Controlled,0.0,2,0,3,M,M,43.0,39,43,43,63,73,"193cm | 6'4""",High & Average  (85kg),1,304,1437
Amir Saipi,FC Lugano,Switzerland,Raiffeisen Super L. (SUI 1),63,GK,0,Normal,Controlled,300.0,1,0,2,M,M,65.0,62,59,64,29,58,"194cm | 6'4""",High & Average  (84kg),1,337,649
Jan Král,KAS Eupen,Czech Republic,1A Pro League (BEL 1),63,CB,0,Normal,Controlled,0.0,2,0,3,M,M,51.0,28,35,41,63,73,"193cm | 6'4""",High & Stocky  (93kg),1,291,1317
Ionu? Stoica,FC Hermannstadt,Romania,Liga I (ROM 1),63,CB,0,Normal,Controlled,300.0,2,0,2,L,H,42.0,23,34,37,62,78,"186cm | 6'1""",High & Average  (83kg),1,276,1304
Ariel Uribe,Deportes Antofagasta,Chile,CONMEBOL Sudamericana,63,RM,"LM,RW",Sudamericana,Controlled,950.0,0,2,3,H,L,70.0,55,61,64,41,45,"167cm | 5'6""",Short & Lean-  (70kg),1,336,1612
Alexandre Phliponeau,FC Annecy,France,Ligue 2 (FRA 2),63,CDM,CM,Normal,Controlled,500.0,0,2,3,M,M,47.0,43,62,58,60,68,"176cm | 5'9""",Lean  (65kg),1,338,1620
Paul Ayongo,Central Coast,Ghana,A-League (AUS 1),63,ST,CF,Normal,Explosive,300.0,0,2,3,M,M,73.0,62,49,68,18,56,"178cm | 5'10""",Lean  (64kg),1,326,1530
Kevin Holzweiler,Rot-Weiss Essen,Germany,3. Liga (GER 3),63,RW,RM,Normal,Explosive,300.0,0,4,4,M,L,86.0,56,54,69,24,42,"164cm | 5'5""",Short and Balanced   (60kg),3,331,1578
Marvin Tshibuabua,RFC Seraing,France,1A Pro League (BEL 1),63,CB,0,Normal,Controlled,350.0,2,0,2,M,M,52.0,34,39,47,64,66,"190cm | 6'3""",High & Average  (78kg),1,302,1421
Javier Siverio Toro,Hyderabad FC,Spain,Indian Super League (IND 1),63,ST,CF,Normal,Controlled,300.0,0,2,5,M,M,61.0,64,49,61,26,65,"182cm | 6'0""",Lean  (75kg),1,326,1532
Jake Garrett,Blackburn Rovers,England,EFL Championship (ENG 2),63,CDM,CM,Normal,Controlled,400.0,0,2,4,M,H,71.0,39,56,59,61,65,"177cm | 5'10""",Lean  (65kg),0,351,1587
Vicente Pizarro,Colo-Colo,Chile,CONMEBOL Libertadores,63,CDM,CM,Libertadores,Controlled,400.0,0,2,2,M,M,68.0,49,57,62,60,64,"172cm | 5'8""",Lean  (67kg),5,360,1649
Robin Tihi,IFK Värnamo,Finland,Allsvenskan (SWE 1),63,CB,0,Normal,Lengthy,0.0,2,0,2,M,M,67.0,32,47,56,62,72,"185cm | 6'1""",High & Average  (85kg),2,336,1537
Taylor Booth,FC Utrecht,United States,Eredivisie,63,CM,CAM,Normal,Controlled,300.0,0,3,3,M,M,66.0,60,64,68,50,49,"174cm | 5'9""",Average  (66kg),35,357,1700
Ángel Baena Pérez,CD Lugo,Spain,LaLiga SmartBank (ESP 2),63,LM,"RM,ST,LW",Normal,Explosive,250.0,0,3,3,H,M,78.0,53,59,64,28,57,"173cm | 5'8""",Average  (68kg),1,339,1597
Nils Mortimer Moreno,Viborg FF,Spain,3F Superliga (DEN 1),63,LW,"LM,RW",Normal,Controlled,350.0,0,3,4,M,M,81.0,59,53,64,20,45,"176cm | 5'9""",Average  (70kg),2,322,1490
Ismaël Doukouré,Strasbourg,France,Ligue 1,63,CB,0,Normal,Lengthy,300.0,2,0,2,M,M,64.0,28,41,48,65,61,"183cm | 6'0""",Average  (80kg),8,307,1395
Ardon Jashari,FC Luzern,Switzerland,Raiffeisen Super L. (SUI 1),63,CM,CDM,Normal,Controlled,300.0,0,2,3,M,M,63.0,58,61,66,58,64,"181cm | 5'11""",Lean  (82kg),9,370,1756
Simone Muratore,Atalanta BC,Italy,Serie A TIM,63,CM,0,Normal,Controlled,300.0,2,0,2,M,M,58.0,50,62,58,61,58,"186cm | 6'1""",High & Average  (74kg),2,347,1634
Hernandes Rodrigues Da Silva,Incheon United,Brazil,K League 1 (KOR 1),63,ST,"LM,CF,LW",Normal,Controlled,300.0,0,3,5,H,M,80.0,56,55,67,28,59,"183cm | 6'0""",Average  (75kg),1,345,1568
Taha Abdi Ali,Helsingborgs IF,Sweden,Allsvenskan (SWE 1),63,LM,LW,Normal,Explosive,5100.0,0,3,2,H,M,75.0,51,56,65,25,44,"174cm | 5'9""",Lean  (63kg),3,316,1425
Adam Montgomery,St. Johnstone,Scotland,Scottish Premiership (SPFL),63,LWB,"LB,LW",Normal,Explosive,300.0,0,3,3,H,M,75.0,54,57,67,55,61,"173cm | 5'8""",Average  (58kg),1,369,1724
Jaden Philogene-Bidace,Cardiff City,England,EFL Championship (ENG 2),63,RM,"RW,LW",Normal,Explosive,650.0,0,3,3,H,L,73.0,59,57,66,30,44,"179cm | 5'10""",Lean  (67kg),5,329,1512
Seong Jin Kang,FC Seoul,Korea Republic,K League 1 (KOR 1),63,RW,RM,Normal,Controlled,300.0,0,4,3,M,M,82.0,58,53,64,27,52,"178cm | 5'10""",Average  (76kg),2,336,1566
David Sousa Albino,Cercle Brugge,Brazil,1A Pro League (BEL 1),63,CB,0,Normal,Controlled,300.0,2,0,3,L,M,61.0,25,44,50,61,70,"192cm | 6'4""",High & Average+  (78kg),0,311,1399
Muharem Huskovic,FK Austria Wien,Austria,Ö Bundesliga (AUT 1),63,ST,CF,Normal,Controlled,300.0,0,3,3,M,M,72.0,62,57,68,19,52,"180cm | 5'11""",Lean  (69kg),9,330,1569
Can Keles,FK Austria Wien,Austria,Ö Bundesliga (AUT 1),63,LM,"RM,LW",Normal,Controlled,300.0,0,3,4,H,M,72.0,57,57,65,34,61,"180cm | 5'11""",Average  (77kg),0,346,1623
Yentl Van Genechten,KAS Eupen,Belgium,1A Pro League (BEL 1),63,RB,"RWB,CB",Normal,Controlled,300.0,0,2,3,H,M,67.0,36,56,56,58,68,"192cm | 6'4""",High & Average+  (75kg),2,341,1543
Kobe Hernández-Foster,HamKam Fotball,United States,Eliteserien (NOR 1),63,LWB,"LB,CM",Normal,Explosive,300.0,0,2,3,M,M,77.0,44,59,62,56,52,"173cm | 5'8""",Lean  (66kg),3,350,1679
Carl Rushworth,Lincoln City,England,EFL League One (ENG 3),63,GK,0,Normal,Controlled,300.0,1,0,2,M,M,64.0,61,63,65,55,62,"188cm | 6'2""",High & Average+  (86kg),-5,370,848
Mathys Saban,ASSE,France,Ligue 2 (FRA 2),63,LM,LW,Normal,Explosive,350.0,0,3,3,M,M,82.0,58,56,67,35,46,"177cm | 5'10""",Lean  (68kg),1,344,1598
Pape-Alioune Ndiaye,SCR Altach,France,Ö Bundesliga (AUT 1),63,CB,CDM,Normal,Controlled,350.0,0,2,2,L,M,38.0,28,46,46,64,72,"203cm | 6'8""",High & Average+  (71kg),4,294,1317
Jean Baptiste Gorby,SC Braga,France,Liga NOS (POR 1),63,CDM,CM,Normal,Controlled,350.0,0,2,3,M,M,55.0,48,58,59,59,66,"181cm | 5'11""",Lean  (76kg),3,345,1636
Mikael Egill Ellertsson,La Spezia,Iceland,Serie A TIM,63,RM,RW,Normal,Controlled,0.0,0,3,3,H,L,64.0,67,57,68,30,47,"182cm | 6'0""",Lean  (75kg),-1,333,1567
Philipp Strompf,Braunschweig,Germany,Bundesliga 2 (GER 2),63,CB,0,Normal,Controlled,300.0,2,0,3,M,M,49.0,33,40,42,62,74,"194cm | 6'4""",High & Average  (91kg),2,300,1368
Tiago Manuel Maio Matos,Radomiak Radom,Portugal,Polski Ekstraklasa (POL 1),63,CDM,RB,Normal,Controlled,5200.0,0,2,3,M,H,67.0,48,56,61,60,67,"178cm | 5'10""",Average  (72kg),0,359,1681
Simone Canestrelli,Pisa,Italy,Italy Serie B (2),63,CB,0,Normal,Lengthy,9900.0,2,0,3,M,M,63.0,31,39,37,65,70,"192cm | 6'4""",High & Average  (85kg),1,305,1415
Noel López de la Fuente,Real Madrid,Spain,LaLiga Santander,63,ST,CF,Normal,Controlled,2700.0,0,4,4,H,M,67.0,63,55,63,28,47,"182cm | 6'0""",Lean  (68kg),12,323,1530
Juan Franco,Deportivo Cali,Colombia,CONMEBOL Libertadores,63,RB,RWB,Libertadores,Controlled,2300.0,0,2,3,M,M,70.0,54,56,59,61,61,"178cm | 5'10""",Average  (70kg),-1,361,1689
N'Dri Philippe Koffi,Paços Ferreira,France,Liga NOS (POR 1),63,ST,CF,Normal,Controlled,10000.0,0,2,2,H,L,74.0,64,52,61,23,52,"183cm | 6'0""",Lean  (74kg),1,326,1516
Junior Flemmings,Toulouse FC,Jamaica,Ligue 1,63,LW,LM,Normal,Controlled,7200.0,0,3,3,M,M,65.0,66,58,62,30,48,"183cm | 6'0""",Average  (77kg),3,329,1510
Josef Weberbauer,SV Ried,Austria,Ö Bundesliga (AUT 1),63,RB,"RWB,RM",Normal,Explosive,300.0,0,2,2,H,M,75.0,27,59,62,58,57,"173cm | 5'8""",Average  (69kg),3,338,1576
Gyung Hyun Min,Incheon United,Korea Republic,K League 1 (KOR 1),63,LWB,"RWB,LB",Normal,Controlled,300.0,0,3,3,H,M,74.0,33,45,58,56,65,"174cm | 5'9""",Average  (66kg),0,331,1484
Alejandro Alvarado,FC Vizela,United States,Liga NOS (POR 1),63,CAM,0,Normal,Controlled,300.0,3,0,2,M,M,66.0,51,66,63,44,46,"173cm | 5'8""",Lean  (67kg),1,336,1662
Adam Obert,Cagliari,Slovakia,Italy Serie B (2),63,CB,0,Normal,Controlled,300.0,2,0,2,L,M,61.0,34,43,49,66,57,"188cm | 6'2""",High & Average  (75kg),2,310,1406
Lukas MacNaughton,Toronto FC,Canada,Major League Soccer,63,CB,0,Normal,Controlled,3000.0,2,0,2,M,H,61.0,31,39,50,62,71,"188cm | 6'2""",High & Average  (83kg),3,314,1410
Victor Dican,FC Botoșani,Romania,Liga I (ROM 1),63,CDM,CB,Normal,Lengthy,300.0,0,2,3,M,M,66.0,51,52,55,63,72,"189cm | 6'2""",High & Average  (83kg),-1,359,1645
Mihajlo Ivancevic,Odense BK,Serbia,3F Superliga (DEN 1),63,CB,0,Normal,Lengthy,300.0,2,0,4,M,M,61.0,34,47,40,61,76,"190cm | 6'3""",High & Average  (85kg),-2,319,1487
Rasmus Örqvist,Degerfors IF,Sweden,Allsvenskan (SWE 1),63,CM,CB,Normal,Lengthy,300.0,0,2,3,M,M,68.0,57,58,63,64,77,"184cm | 6'0""",Average  (81kg),2,387,1774
Roque Ramírez,River Plate Montevideo,Argentina,CONMEBOL Sudamericana,63,LB,LWB,Sudamericana,Controlled,0.0,0,2,2,M,M,68.0,28,47,56,60,61,"177cm | 5'10""",Average  (79kg),-13,320,1443
Evgeniy Shikavka,Korona Kielce,Belarus,Polski Ekstraklasa (POL 1),63,ST,CF,Normal,Controlled,300.0,0,2,2,M,L,64.0,63,51,60,34,67,"185cm | 6'1""",High & Average  (80kg),8,339,1590
Dalibor Takác,Korona Kielce,Slovakia,Polski Ekstraklasa (POL 1),63,CM,0,Normal,Controlled,300.0,2,0,3,M,M,72.0,48,59,63,62,63,"178cm | 5'10""",Lean  (70kg),0,367,1697
Thomas Santos,AC Horsens,Denmark,3F Superliga (DEN 1),63,RM,"RWB,LM,RW",Normal,Controlled,300.0,0,2,3,M,M,85.0,52,56,61,47,62,"174cm | 5'9""",Lean  (65kg),-2,363,1661
Mino Sota,FC Hermannstadt,Japan,Liga I (ROM 1),63,CDM,CM,Normal,Controlled,300.0,0,2,3,H,H,63.0,44,53,53,59,74,"181cm | 5'11""",Average  (78kg),-2,346,1588
Pius Grabher,SC Austria,Austria,Ö Bundesliga (AUT 1),63,CDM,CM,Normal,Controlled,350.0,0,2,3,M,M,57.0,52,58,63,58,57,"170cm | 5'7""",Short & Lean-  (65kg),1,345,1627
Nikolas Agrafiotis,Excelsior,Serbia,Eredivisie,63,ST,CF,Normal,Lengthy,300.0,0,2,3,H,M,68.0,62,50,59,25,66,"191cm | 6'3""",High & Average+  (80kg),1,330,1521
Dominykas Barauskas,PGE Stal Mielec,Lithuania,Polski Ekstraklasa (POL 1),63,CB,0,Normal,Controlled,300.0,2,0,3,M,M,64.0,33,48,49,63,63,"188cm | 6'2""",High & Average  (78kg),3,320,1473
Tom Vandenberghe,KV Kortrijk,Belgium,1A Pro League (BEL 1),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,62.0,64,59,65,29,60,"190cm | 6'3""",High & Average+  (78kg),3,339,652
Sebastian Kolbe,SpVgg Bayreuth,Germany,3. Liga (GER 3),63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,60.0,63,59,66,25,63,"187cm | 6'2""",High & Average  (88kg),1,336,632
Martin Thomann,SpVgg Bayreuth,Germany,3. Liga (GER 3),63,LM,LW,Normal,Controlled,250.0,0,2,4,H,M,75.0,60,60,63,35,67,"182cm | 6'0""",Average  (80kg),-2,360,1626
Sphelele Mkhulise,Mamelodi Sundowns,South Africa,South African FL (RSA 1),63,CAM,0,Normal,Controlled,300.0,2,0,3,M,M,68.0,51,62,65,33,53,"177cm | 5'10""",Average  (70kg),9,332,1554
André Miguel Pinto Lopes,Santa Clara,Portugal,Liga NOS (POR 1),63,RW,"RM,LW",Normal,Explosive,300.0,0,2,3,M,M,72.0,52,62,66,30,39,"174cm | 5'9""",Lean  (64kg),2,321,1559
Kwesi Appiah,Colchester,Ghana,EFL League Two (ENG 4),63,ST,"CF,RW",Normal,Controlled,350.0,0,3,3,M,M,79.0,61,51,63,35,69,"180cm | 5'11""",Average  (80kg),2,358,1677
Armin Gigovic,Odense BK,Sweden,3F Superliga (DEN 1),63,CM,CDM,Normal,Controlled,3500.0,0,3,4,M,M,70.0,52,61,65,52,67,"187cm | 6'2""",High & Average+  (77kg),2,367,1695
Kartal Yilmaz,Ümraniyespor,Turkey,Süper Lig (TUR 1),63,CM,CDM,Normal,Controlled,350.0,0,3,3,M,H,67.0,49,70,64,62,65,"178cm | 5'10""",Lean  (67kg),3,377,1813
Jay Stansfield,Exeter City,England,EFL League One (ENG 3),63,ST,"CF,RW",Normal,Controlled,350.0,0,2,3,H,M,73.0,63,53,63,26,55,"182cm | 6'0""",Lean  (68kg),34,333,1558
Abdoullah Ba,Sunderland,France,EFL Championship (ENG 2),63,CM,0,Normal,Controlled,300.0,3,0,3,M,M,67.0,56,61,67,53,65,"180cm | 5'11""",Lean  (75kg),-1,369,1720
Toni Fuidias Ribera,Girona FC,Spain,LaLiga Santander,63,GK,0,Normal,Controlled,300.0,1,0,3,M,M,65.0,64,62,62,30,59,"195cm | 6'5""",High & Average  (80kg),2,342,631
Batuhan Sen,Karagümrük SK,Turkey,Süper Lig (TUR 1),63,GK,0,Normal,Controlled,350.0,1,0,2,M,M,65.0,60,63,66,24,62,"192cm | 6'4""",High & Average+  (81kg),5,340,617
Mamady Diambou,FC Luzern,Mali,Raiffeisen Super L. (SUI 1),63,CDM,0,non-rare,Explosive,300.0,2,0,3,M,M,72.0,52,58,66,59,61,"176cm | 5'9""",Average  (60kg),0,368,1701
